id;quiz_taker;start_date;total_questions;correct_questions
1;victoriously;2025-01-18T02:28:17;26280;9494
2;thoughtfully till;2025-01-17T16:18:02;17884;2054
3;except;2025-01-17T05:47:52;8527;31814
4;um ugh;2025-01-17T09:26:40;9379;10504
5;instead bogus sonnet;2025-01-17T10:29:02;6186;8997
6;husk than flash;2025-01-18T00:49:55;16263;3372
7;weird compete calmly;2025-01-17T08:30:21;14911;31016
8;manage oof anti;2025-01-17T23:51:37;11578;28538
9;ick as;2025-01-18T00:21:12;17569;17087
10;since upward;2025-01-17T20:21:27;26350;9243
