id;level;name;type;start_date;end_date
11;EASY;Isaiah Chapter 1 Easy Trivia;BIBLICAL;2024-06-01;
12;MEDIUM;Isaiah Chapter 1 Medium Trivia;BIBLICAL;2024-06-01;
13;HARD;Isaiah Chapter 1 Hard Trivia;BIBLICAL;2024-06-01;
14;EASY;Isaiah Chapter 2 Easy Trivia;BIBLICAL;2024-06-01;
15;MEDIUM;Isaiah Chapter 2 Medium Trivia;BIBLICAL;2024-06-01;
16;HARD;Isaiah Chapter 2 Hard Trivia;BIBLICAL;2024-06-01;
17;EASY;Isaiah Chapter 3 Easy Trivia;BIBLICAL;2024-06-01;
18;MEDIUM;Isaiah Chapter 3 Medium Trivia;BIBLICAL;2024-06-01;
19;HARD;Isaiah Chapter 3 Hard Trivia;BIBLICAL;2024-06-01;
21;EASY;Isaiah Chapter 4 Easy Trivia;BIBLICAL;2025-09-13;
22;MEDIUM;Isaiah Chapter 4 Medium Trivia;BIBLICAL;2025-09-13;
23;HARD;Isaiah Chapter 4 Hard Trivia;BIBLICAL;2025-09-13;
24;EASY;Isaiah Chapter 5 Easy Trivia;BIBLICAL;2025-09-13;
25;MEDIUM;Isaiah Chapter 5 Medium Trivia;BIBLICAL;2025-09-13;
26;HARD;Isaiah Chapter 5 Hard Trivia;BIBLICAL;2025-09-13;
27;EASY;Isaiah Chapter 6 Easy Trivia;BIBLICAL;2025-09-13;
28;MEDIUM;Isaiah Chapter 6 Medium Trivia;BIBLICAL;2025-09-13;
29;HARD;Isaiah Chapter 6 Hard Trivia;BIBLICAL;2025-09-13;
30;EASY;Isaiah Chapter 7 Easy Trivia;BIBLICAL;2025-09-13;
31;MEDIUM;Isaiah Chapter 7 Medium Trivia;BIBLICAL;2025-09-13;
32;HARD;Isaiah Chapter 7 Hard Trivia;BIBLICAL;2025-09-13;
33;EASY;Isaiah Chapter 8 Easy Trivia;BIBLICAL;2025-09-13;
34;MEDIUM;Isaiah Chapter 8 Medium Trivia;BIBLICAL;2025-09-13;
35;HARD;Isaiah Chapter 8 Hard Trivia;BIBLICAL;2025-09-13;
36;EASY;Isaiah Chapter 9 Easy Trivia;BIBLICAL;2025-09-13;
37;MEDIUM;Isaiah Chapter 9 Medium Trivia;BIBLICAL;2025-09-13;
38;HARD;Isaiah Chapter 9 Hard Trivia;BIBLICAL;2025-09-13;
39;EASY;Isaiah Chapter 10 Easy Trivia;BIBLICAL;2025-09-14;null
40;MEDIUM;Isaiah Chapter 10 Medium Trivia;BIBLICAL;2025-09-14;null
41;HARD;Isaiah Chapter 10 Hard Trivia;BIBLICAL;2025-09-14;null

