id;answer_id;answer;explanation;correct;picture;trivia_question_id
1;19107;jumbo;sans alarmed unknown;false;what;1
2;16968;pleased dicker;neatly;true;considering uh-huh parallel;2
3;29003;since and consign;pillbox rarely baggy;true;gee tender or;2
4;26977;dazzling;yahoo smoggy;true;intermesh since;3
5;6679;confusion wherever only;fearless rubric;true;well-lit um;4
6;31251;psst;whoever;true;pulp whoever floodlight;5
7;28867;before fooey;precedent;true;accurate;5
8;3025;lumpy;wherever black-and-white oh;false;publicity;2
9;24014;like;pigpen gracefully;true;yearningly airmail;2
10;21764;repeatedly bitterly;drag;false;sardonic;10
