id;question_id;level;question_type;question;answer_type;value;picture
101;101;EASY;BIBLICAL;"Who is the son of Amoz?";SINGLE;1;
102;102;EASY;BIBLICAL;Which animals are mentioned as knowing their owner in Isaiah 1?;MULTIPLE;1; 
103;103;EASY;BIBLICAL;Did the people rebel against the Lord according to Isaiah 1:2?;TRUE_FALSE;1; 
104;104;EASY;BIBLICAL;What is Israel compared to in Isaiah 1:8?;SINGLE;1; 
105;105;EASY;BIBLICAL;What does the Lord not delight in, according to Isaiah 1:11?;MULTIPLE;1; 
106;106;EASY;BIBLICAL;What should the people do to become clean?;MULTIPLE;1; 
107;107;EASY;BIBLICAL;If you are willing and obedient, what will you do?;SINGLE;1; 
108;108;EASY;BIBLICAL;Is Jerusalem called the "faithful city" in Isaiah 1?;TRUE_FALSE;1; 
109;109;EASY;BIBLICAL;What has become dross according to Isaiah 1:22?;SINGLE;1; 
110;110;EASY;BIBLICAL;Who will be redeemed with justice?;SINGLE;1; 
#---
111;111;MEDIUM;BIBLICAL;Which vision did Isaiah see concerning Judah and Jerusalem?;SINGLE;1;
112;112;MEDIUM;BIBLICAL;Who are called to hear in Isaiah 1:2?;MULTIPLE;1;
113;113;MEDIUM;BIBLICAL;Did Israel know their Master according to Isaiah 1:3?;TRUE_FALSE;1;
114;114;MEDIUM;BIBLICAL;What is the consequence of rebellion mentioned in Isaiah 1:5-6?;MULTIPLE;1;
115;115;MEDIUM;BIBLICAL;What cities are mentioned as being like Sodom and Gomorrah?;SINGLE;1;
116;116;MEDIUM;BIBLICAL;What does the Lord call the rulers of Jerusalem in Isaiah 1:10?;SINGLE;1;
117;117;MEDIUM;BIBLICAL;Which offerings are NOT accepted by the Lord in Isaiah 1:13?;MULTIPLE;1;
118;118;MEDIUM;BIBLICAL;Is the Lord pleased with the multitude of sacrifices?;TRUE_FALSE;1;
119;119;MEDIUM;BIBLICAL;What is described as being "desolate" in Isaiah 1:7?;SINGLE;1;
120;120;MEDIUM;BIBLICAL;Who is compared to a hut in a garden of cucumbers?;SINGLE;1;
#---
121;121;HARD;BIBLICAL;Which four kings of Judah are mentioned in Isaiah 1:1?;MULTIPLE;1;
122;122;HARD;BIBLICAL;What two things are Israel compared to in Isaiah 1:8?;MULTIPLE;1;
123;123;HARD;BIBLICAL;Did the Lord say He is weary of bearing the appointed feasts?;TRUE_FALSE;1;
124;124;HARD;BIBLICAL;What is NOT listed as a wound in Isaiah 1:6?;SINGLE;1;
125;125;HARD;BIBLICAL;Who is called to hear the word of the Lord in Isaiah 1:10?;MULTIPLE;1;
126;126;HARD;BIBLICAL;Which offerings does the Lord NOT delight in, according to Isaiah 1:11?;MULTIPLE;1;
127;127;HARD;BIBLICAL;Is "the whole head is sick, and the whole heart faints" a metaphor for Israel's condition?;TRUE_FALSE;1;
128;128;HARD;BIBLICAL;What does the Lord instruct the people to do in Isaiah 1:17?;MULTIPLE;1;
129;129;HARD;BIBLICAL;What will happen if the people refuse and rebel?;SINGLE;1;
130;130;HARD;BIBLICAL;What has Jerusalem become, according to Isaiah 1:21?;SINGLE;1;
#---
131;131;EASY;BIBLICAL;Who saw the word concerning Judah and Jerusalem in Isaiah 2:1?;SINGLE;1;
132;132;EASY;BIBLICAL;What will be established on the top of the mountains in the latter days?;SINGLE;1;
133;133;EASY;BIBLICAL;Will all nations flow to the mountain of the Lord?;TRUE_FALSE;1;
134;134;EASY;BIBLICAL;What will people beat their swords into?;SINGLE;1;
135;135;EASY;BIBLICAL;Which tools are mentioned in Isaiah 2:4?;MULTIPLE;1;
136;136;EASY;BIBLICAL;Will nation lift up sword against nation?;TRUE_FALSE;1;
137;137;EASY;BIBLICAL;Who will teach people His ways?;SINGLE;1;
138;138;EASY;BIBLICAL;From where will the law go forth?;SINGLE;1;
139;139;EASY;BIBLICAL;What will people not learn anymore according to Isaiah 2:4?;SINGLE;1;
140;140;EASY;BIBLICAL;Is the house of Jacob invited to walk in the light of the Lord?;TRUE_FALSE;1;
#---
141;141;MEDIUM;BIBLICAL;Who will say, 'Come, let us go up to the mountain of the Lord'?;MULTIPLE;1;
142;142;MEDIUM;BIBLICAL;From where will the word of the Lord go forth?;SINGLE;1;
